Aufr. Ku.	Auhns.&#10;— Aufrechtʼs Article in Kuhnʼs Zeitschrift
Kuhnʼs Zeitschr. 3,429	Ueber des alte S und einige damit verbundene lautentwicklungen (schluſs des fünften artikels)&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Kuhnʼs Zeitschr. 6,240	atrium.&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Lottner	Ueber die stellung der Italer innerhalb des indoeuropäischen stammes (schlufs)&#10;— Lottnerʼs Article in Kuhnʼs Zeitschrift
Lottner in Ku. Z.	Griechische ableitungen vom stamme des relativums&#10;— Lottnerʼs Article in Kuhnʼs Zeitschrift
Pauli in Ku. Zeitschr.	Ueber skr. hāridravá&#10;— Carl Pauliʼs Article in Kuhnʼs Zeitschrift
Pictet in Ku. Zeitschr.	Etymologische forschungen über die älteste arzneikunst bei den Indogermanen.&#10;— Adolphe Pictetʼs Article in Kuhnʼs Zeitschrift
Roth in Ku. 19,216	Etymologien.&#10;— Rothʼs Article in Kuhnʼs Zeitschrift
Roth in Ku. 19,220	Etymologien.&#10;— Rothʼs Article in Kuhnʼs Zeitschrift
Roth in Ku. 19,223	Etymologien.&#10;— Rothʼs Article in Kuhnʼs Zeitschrift
Roth in Ku. 20,70	Zu Benfey: Ueber die entstehong und verwendnng der im sanskrit mit r anlantenden personalendungeo.&#10;— Rothʼs Article in Kuhnʼs Zeitschrift
Sonne in Ku.	Charis.&#10;— Sonneʼs Article in Kuhnʼs Zeitschrift
Sonne in Ku. Zeitschr.	Sprachliche und mythologische untersuchungen, angeknüpft an Rigveda I, 50.&#10;— Sonneʼs Article in Kuhnʼs Zeitschrift
Web. in Ku. 10,400	marga, schnell, hurtig &#10;— ὄνος,  ŏnus, ánas.&#10;— Weberʼs Article in Kuhnʼs Zeitschrift
Web. in Ku. 9,234	nâga, snake.&#10;— Weberʼs Article in Kuhnʼs Zeitschrift
Zeitschr. 12,120	Ueber das ursprüngliche vorhandensein von wurzeln, derenanlaut und auslaut eine aspirate enthielt.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Zeitschr. IX,29	Ueber die verbindung der stummen consonanten mit folgendum v und die davon abhängigen erscheinungen.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
